出版社	城市	类型	出版社编号（ISBN）	备注
接力出版社	南宁市	少儿出版社	5448	曾用出版社编号80581、80679、80732
辽海出版社	沈阳市		5451	曾用出版社编号80638、80649、80669、80711
上海锦绣文章出版社	上海市		5452	
珠海出版社	珠海市		5453	曾用出版社编号80607
广东经济出版社	广州市	经济出版社	5454	曾用出版社编号80632、80677、80728
天地出版社	成都市		5455	曾用出版社编号80624、80726
三晋出版社	太原市		5457	
上海书店出版社	上海市		5458	曾用出版社编号80622、80678
鹭江出版社	厦门市		5459	曾用出版社编号80533、80610、80671
黄山书社	合肥市	古籍出版社	5461	曾用出版社编号80535、80630、80707
广州出版社	广州市		5462	曾用出版社编号80592、80655、80731
吉林出版集团	长春市		5463	曾用出版社编号80720、80762
成都时代出版社	成都市		5464	曾用出版社编号80705
万卷出版公司			5470	曾用出版社编号80759
吉林文史出版社	长春市		5472	曾用出版社编号80528、80626、80702
东方出版中心	上海市		5473	曾用出版社编号80186、80627
山东画报出版社	济南市		5474	曾用出版社编号80603、80713
上海远东出版社	上海市		5476	曾用出版社编号80613、80661、80706
上海科学技术出版社	上海市	科技出版社	5478	曾用出版社编号5323
上海书画出版社	上海市	美术出版社	5479	曾用出版社编号80512、80635、80672、80725
江西美术出版社	南昌市	美术出版社	5480	曾用出版社编号80580、80689、80690、80749
外语教学与研究出版社	北京市	大学出版社／外语出版社／教育出版社／翻译出版社	5600	
吉林大学出版社	长春市	大学出版社	5601	
东北师范大学出版社	长春市	大学出版社	5602	
哈尔滨工业大学出版社	哈尔滨市	大学出版社	5603	曾用出版社代码81073
西北大学出版社	西安市	大学出版社	5604	
西安交通大学出版社	西安市	大学出版社	5605	
西安电子科技大学出版社	西安市	大学出版社	5606	
山东大学出版社	济南市	大学出版社	5607	
同济大学出版社	上海市	大学出版社	5608	
华中科技大学出版社	武汉市	大学出版社	5609	原名华中理工大学出版社
辽宁大学出版社	沈阳市	大学出版社	5610	
大连理工大学出版社	大连市	大学出版社	5611	
西北工业大学出版社	西安市	大学出版社	5612	
陕西师范大学出版社	西安市	大学出版社	5613	
四川大学出版社	成都市	大学出版社	5614	
厦门大学出版社	厦门市	大学出版社	5615	
成都科技大学出版社	成都市	大学出版社	5616	
华东师范大学出版社	上海市	大学出版社	5617	
天津大学出版社	天津市	大学出版社	5618	
北京语言大学出版社	北京市	大学出版社	5619	
中国政法大学出版社	北京市	大学出版社	5620	
西南师范大学出版社	重庆市	大学出版社	5621	
华中师范大学出版社	武汉市	大学出版社	5622	
华南理工大学出版社	广州市	大学出版社	5623	
重庆大学出版社	重庆市	大学出版社	5624	
中国地质大学出版社	武汉市	大学出版社／科技出版社	5625	
国防大学出版社	北京市	大学出版社	5626	
上海医科大学出版社	上海市	大学出版社	5627	
华东理工大学出版社	上海市	大学出版社	5628	
武汉理工大学出版社	武汉市	大学出版社	5629	
河海大学出版社	南京市	大学出版社	5630	曾用出版社编号81018、81041、81091
新疆大学出版社	乌鲁木齐市	大学出版社	5631	
大连海事大学出版社	大连市	大学出版社	5632	曾用出版社编号80555
广西师范大学出版社	桂林市	大学出版社	5633	
延边大学出版社	延吉市	大学出版社／少数民族文字出版社（朝鲜文）	5634	
北京邮电大学出版社	北京市	大学出版社	5635	
石油大学出版社	东营市	大学出版社	5636	
旅游教育出版社	北京市	旅游出版社	5637	
首都经济贸易大学出版社	北京市	大学出版社	5638	
北京工业大学出版社	北京市	大学出版社	5639	
北京理工大学出版社	北京市	大学出版社	5640	曾用出版社编号81013、81045
东南大学出版社	南京市	大学出版社	5641	曾用出版社编号81023、81050、81089
上海财经大学出版社	上海市	大学出版社	5642	曾用出版社编号81049、81098
西南交通大学出版社	成都市	大学出版社	5643	曾用出版社编号81022、81057、81104
北京体育大学出版社	北京市	大学出版社	5644	曾用出版社编号81003、81051、81100
印刷工业出版社	北京市	专业出版社（印刷）	80000	
万国学术出版社／中国学术出版社	北京市	合资学术出版社，隶属国家科技部	80003	
中国曲艺出版社	北京市		80008	
专利文献出版社	北京市		80011	
工商出版社	北京市	经济出版社	80012	
长城出版社	北京市	美术出版社／摄影出版社	80017	
能源出版社	北京市		80018	
档案出版社	北京市		80019	
文字改革出版社	北京市		80029	
宝文堂书店	北京市		80030	
中华地图学社	北京市／上海市		80031	
中国农业机械出版社	北京市		80032	
求实出版社	北京市		80033	
昆仑出版社	北京市	文艺（文学）出版社	80040	（解放军文艺出版社的副牌）
中国新闻出版社	北京市		80041	
中外文化出版公司	北京市		80042	
中国食品出版社	北京市		80044	
学术期刊出版社	北京市		80045	
紫禁城出版社	北京市		80047	
台声出版社	北京市		80062	该出版社已于1989年12月撤销
长虹出版公司	北京市	军事出版社	80063	
中国审计出版社	北京市		80064	
人民中国出版社	北京市		80065	
奥林匹克出版社	北京市		80067	
中国卓越出版公司	北京市		80071	
大象出版社			80094	
中国大地出版社	北京市	科技出版社	80097	
商务印书馆国际有限公司	北京市		80103	
民主与建设出版社	北京市		80112	
九洲图书出版社	北京市		80114	
学习出版社	北京市	中国共产党理论出版社	80116	
华乐出版社（人民音乐出版社）	北京市	音乐出版社	80129	
开明出版社	北京市	教育出版社	80133	曾用出版社编号80077
国家行政学院出版社	北京市	大学出版社	80140	曾用出版社编号80061
台海出版社	北京市	统战系统出版社（台湾民主自治同盟）	80141	
改革出版社	北京市		80143	曾用出版社编号80072
宇航出版社	北京市		80144	曾用出版社编号80034
军事译文出版社	北京市	军事出版社	80150	曾用出版社编号80027
中国物价出版社	北京市		80155	曾用出版社编号80070
中国海关出版社			80165	
研究出版社			80168	
当代中国出版社	北京市		80170	曾用出版社编号80092
北京希望电子出版社	北京市		80172	
中医古籍出版社	北京市		80174	曾用出版社编号80013
人民武警出版社	北京市		80176	
中国计划出版社	北京市		80177	曾用出版社编号80058
华龄出版社	北京市		80178	曾用出版社编号80082
中国致公出版社	北京市		80179	曾用出版社编号80096
经济日报出版社	北京市		80180	曾用出版社编号80036、80127
中国对外经济贸易出版社	北京市	经济出版社	80181	曾用出版社编号80004
中国人事出版社	北京市		80189	曾用出版社编号80076、80139
华语教学出版社	北京市	教育出版社／外语出版社	80200	（外文出版社的副牌，专门出版汉语教材）
				曾用出版社编号80052
中国和平出版社	北京市		80201	曾用出版社编号80037、80101、80154
长征出版社	北京市	军事出版社	80204	曾用出版社编号80015
西苑出版社	北京市	各地人民出版社	80210	曾用出版社编号80108
星球地图出版社	北京市	地图出版社	80212	曾用出版社编号80104
海潮出版社	北京市	军事出版社	80213	曾用出版社编号80054、80151
中国工商出版社			80215	
中国方正出版社	北京市		80216	曾用出版社编号80107
中国宇航出版社	北京市		80218	
中国民主法制出版社	北京市		80219	曾用出版社编号80069
中国画报出版社／中国画报出版公司	北京市		80220	曾用出版社编号80024
中国三峡出版社	北京市		80223	曾用出版社编号80099
新星出版社	北京市	外语出版社	80225	曾用出版社编号80085、80102、80148
中国建材工业出版社	北京市		80227	曾用出版社编号80090、80159
中国中医药出版社	北京市		80231	曾用出版社编号80089、80156
时事出版社	北京市		80232	曾用出版社编号80009
中国发展出版社	北京市		80234	曾用出版社编号80087
中国税务出版社	北京市		80235	曾用出版社编号80117
中国摄影出版社	北京市		80236	曾用出版社编号80007
军事科学出版社	北京市	军事出版社	80237	曾用出版社编号80021、80137
方志出版社			80238	曾用出版社编号80192
大众文艺出版社			80240	曾用出版社编号80095、80171
语文出版社	北京市	专业出版社（语文）	80241	曾用出版社编号80006、80126、80184
航空工业出版社	北京市	科技出版社	80243	曾用出版社编号80046、80134、80183
现代出版社	北京市		80244	曾用出版社编号80028、80188
军事医学科学出版社	北京市	医学出版社	80245	曾用出版社编号80121
知识产权出版社			80247	曾用出版社编号80198
兵器工业出版社	北京市	军事出版社	80248	曾用出版社编号80038、80132
中华工商联合出版社	北京市		80249	曾用出版社编号80100、80193
中国言实出版社	北京市		80250	曾用出版社编号80128
金城出版社	北京市		80251	曾用出版社编号80084
华艺出版社	北京市		80252	曾用出版社编号80039、80142
中国藏学出版社	北京市		80253	曾用出版社编号80057
宗教文化出版社	北京市		80254	曾用出版社编号80123
企业管理出版社	北京市	经济出版社	80255	曾用出版社编号80001、80147、80197
群言出版社	北京市		80256	曾用出版社编号80080
